name,BYOD_no_yes_maybe,
One Touch Pixi Glory,1,
One Touch Pixi 4 (7),1,
One Touch Pixi 4 (6),1,
One Touch Idol 4,1,
One Touch Idol 3 (5.5),1,
One Max,1,
One M9,1,
One A9,1,
One (M9),1,
One (A9),1,
One,1,
Nova Smart,1,
Nova Plus,1,
Nova 2S,1,
Nova 2 Plus,1,
Nook BNTV450,1,
Nook BNRV520,1,
Nokia,2,
Noir X1S,1,
Nexus 7000,1,
Nexus 7,1,
Nexus 6P,1,
Nexus 6,1,
Nexus 5X,1,
Nexus 5,1,
Nexus 4,1,
Nexus 10,1,
NEO-AL00,1,ceo phone
NBTY07SMKG,1,
N9600,1,
N9560,1,
N9517,1,
N9500,1,
N9137,1,
N9136,1,
N818S,1,
N5S,1,
N5501L,1,
N5001L,1,
MS631,1,
MS550,1,
MS330,1,
MS323,1,
MS210,1,
MP450,1,
MP260,1,
motorola one power,1,
motorola one,1,
moto z4,1,
Moto Z3 Play,1,
moto z3,1,
Moto Z2 Play,1,
Moto Z2,1,
Moto Z Play,1,
Moto Z (2017),1,
Moto X4,1,
Moto X Play,1,
Moto X,1,
Moto G6 Plus,1,
Moto G6,1,
moto g(7) supra,1,
moto g(7) power,1,
moto g(7) plus,1,
moto g(7) play,1,
moto g(7),1,
moto g(7,1,
moto g(6) play,1,
moto g(6) forge,1,
moto g(6) (XT1925DL),1,
moto g(6,1,
Moto G (2015),1,
Moto G (2014),1,
Moto G,1,
moto e5 supra,1,
moto e5 plus,1,
moto e5 play,1,
moto e5 go,1,
Moto E5 Cruise,1,
moto e5 (XT1920DL),1,
moto e5,1,
Moto E4,1,
Moto E (2015),1,
Moto E,1,
Moto C Plus,1,
Moto C,1,
Motion,,
MIX 3,1,
MIV3,,
Midnight Pro,1,
Microsoft Surface,1,
Micromax HS2,1,
Mi Note 3,1,
Mi MIX 2,1,
MI MAX ,1,
MI MAX,1,
Mi A2 Lite,1,
Mi A2,1,
Mi A1,1,
MI 9,1,
MI 8 Lite ,1,
MI 8 ,1,
MI 8,1,
MI 6X,1,
MI 6,1,
MI 5s,1,
MI 5,1,
Mi 4,1,
MeMO Pad HD 7,1,
MediaPad T2 7.0 Pro,1,
MediaPad M3,1,
MD-03P,1,
MC40 Mobile Computer,0,
MAX STAR 6.0,1,
Maven 2,,
Mate9,1,
Mate8,1,
Mate20_lite,1,
Mate20,1,
Mate10_lite,1,
Mate10,1,
Mate SE,1,
Mate 9 Pro,1,
Mate 9,1,
Mate 8,1,
Mate 20,1,
Mate 10 Pro,1,
Mate 10,1,
MAR-LX3A,1,
MAR-LX2,1,
MAR-LX1M,1,
MAR-AL00,1,
Majesty Pro,1,
Maimang 5,1,
Mail Printer,0,
MacPro,0,
Macmini,0,
MacBookPro,2,
MacBookAir,2,
MacBook-Air,2,
MacBook Pro 15-inch,2,
MacBook Pro 13-inch,2,
MacBook Pro,2,
Macbook Pro,2,
MacBook,2,
M8x,1,
M703,1,
M6 Note,1,
M470,1,
M430,1,
M327,1,
M322,1,
M320G,1,
M3058,0,
M3057,0,
M3047-P,0,
M3045-V,0,
M3027,0,
M3025,0,
M3014,0,
M3007,0,
M3005,0,
M257,2,
M255,2,
M210,2,
M1852,2,
M154,2,
M153,2,
M151,2,
M150,2,
M1,2,
M-V300K,1,
LYA-L29,1,
LYA-L0C,1,
LYA-AL00P,1,
LYA-AL00,1,
Lumia 640 LTE,1,
Lumia 635,1,
Lumia 520,1,
Lumia 435,1,
LS998,1,
LS997,1,
LS995,1,
LS993,1,
LS992,1,
LS777,1,
LS775,1,
LS770,1,
LS740,1,
LS676,1,
LS675,1,
LND-AL30,1,
LML713DL,1,
LML414DL,1,
LML413DL,1,
LML212VL,1,
LML211BL,1,
LM-X420,1,
LM-X220PM,1,
LM-X220,1,
LM-X212(G),1,
LM-V450,1,
LM-V405,1,
LM-Q910,1,
LM-Q720,1,
LM-G820V,1,
LM-G820,1,
LK460,1,
LK430,1,
Liquid Z530,1,
Liquid Z4,1,
Liquid Jade Z,1,
Life One X3,,
LGMS210,1,
LGL158VL,1,
LG-SP320,1,
LG-Q710PL,1,
LG-Q710AL,1,
LG-G710,1,
LG G5,1,
LG,2,
Lexmark C792,0,
LEO-BX9,,
LEM7,,
Le X522,,
Latitude E5470,1,
LaserJet,0,
Laboratory Workstation,0,
Label Printer,0,
L84VL,,
L83BL,1,
L83B,1,
L62VL,2,
L58VL,2,
L51,,
L44VL,,
L33L,,
L16C,,
L163BL,1,
L158VL,1,
L157B,1,
"Kindle Fire HDX 8.9"" WiFi",1,
"Kindle Fire HDX 7"" WiFi",1,
"Kindle Fire HD 8.9"" WiFi",1,
"Kindle Fire HD 7"" WiFi",1,
Kindle Fire HD 2017,1,
Kindle Fire HD,1,
Kindle Fire,1,
Kindle,1,
KFMUWI,1,
KFKAWI,1,
KEYone,,
KEY2,,
K88,,
K81,,
K8 V,,
K8 Plus,1,
K7,,
K580,1,
K550,1,
K540,1,
K50a40,1,
K428,1,
K425,1,
K371,1,
K330,1,
K210,1,
K20 Plus,1,
K121,1,
K10,1,
JSN-L42,1,
JSN-L23,1,
JSN-L22,1,
JSN-L21,1,
JSN-AL00a,,
JKM-LX3,1,
JKM-LX2,1,
JKM-LX1,1,
JKM-AL00b,1,
JAX_M,,
j3topltetmo,,
iPod,1,
iPhone Xs-Max,1,
iPhone XS Max,1,
iPhone XS,1,
iPhone Xs,1,
iPhone XR,1,
iPhone Xr,1,
iPhone X,1,
iPhone SE,1,
iPhone 8 Plus,1,
iPhone 8,1,
iPhone 7 Plus,1,
iPhone 7,1,
iPhone 6S-Plus,1,
iPhone 6s Plus,1,
iPhone 6s,1,
iPhone 6S,1,
iPhone 6Plus,1,
iPhone 6-Plus,1,
iPhone 6 Plus,1,
iPhone 6,1,
iPhone 5s,1,
iPhone 5S,1,
iPhone 5c,1,
iPhone 5,1,
iPhone 4S,1,
iPhone 4,1,
iPhone,1,
iPad Pro 9.7,1,
iPad Pro 12.9,1,
iPad Mini 3,1,
iPad Mini 2,1,
iPad Mini,1,
iPad Air 2,1,
iPad Air,1,
iPad 4,1,
iPad 3,1,
iPad 2,1,
iPad,1,
IP Station,0,
Intermec.PTR.PC43d ,,
INE-LX2r,,
INE-LX2,,
iMac,0,
Ilium X220,,
Idol 4,,
Ideal,,
Iconia One 8 B1-850,1,
Iconia One 7 B1-7A0,1,
Iconia One 10 B3-A40,1,
Iconia B1,1,
I4293,1,
Hydro WAVE,1,
Hydro VIBE,1,
Hydro REACH,1,
Hydro ICON,1,
HTCD160LVW,1,
HRY-AL00a,1,
HP LaserJet 400 MFP M425dn,0,
HP LaserJet 400 M401n,0,
HP LaserJet 400 M401dne,0,
HP LaserJet 400 M401dn,0,
HP LaserJet 200 colorMFP M276nw,0,
HP LaserJet 200 color M251nw,0,
HP LaserJet,0,
HP J9851A+Switch 5412Rzl2,0,
Honor V9,1,
Honor V8,1,
Honor V20,1,
Honor V10,1,
Honor Play,1,
Honor Note 8,1,
Honor Magic_2,1,
Honor 9i,1,
Honor 9I,1,
Honor 9_Lite,1,
Honor 9 Lite,1,
Honor 9,1,
Honor 8X,1,
Honor 8_Pro,1,
Honor 8_Lite,1,
Honor 8,1,
Honor 7X,1,
Honor 7C,1,
Honor 6X,1,
Honor 6A,1,
Honor 5X,1,
Honor 5C,1,
Honor 4X,1,
Honor 4A,1,
Honor 10,1,
Honor,1,
HMA-TL00,1,
HMA-L29,1,
HMA-AL00,1,
HM 1S,1,
Hikvision Security Camera,0,
Hewlett-Packard OfficeJet,0,
Hewlett-Packard LaserJet,0,
Hewlett-Packard JetDirect,0,
H933,1,
H932,1,
H931,1,
H918,1,
H915,1,
H910,1,
H901,1,
H900,1,
H873,1,
H872,1,
H871,1,
H870DS,1,
H860,1,
H831,1,
H830,1,
H8276,1,
H820,1,
H8166,1,
H812,1,
H811,1,
H740,1,
H731,1,
H700,1,
H636,1,
H634,1,
H631,1,
H4493,1,
H345,1,
H3321,1,
H3223,1,
H3123,1,
H1711z,1,
H1711,1,
H1611,1,
Grand XL LTE,1,
Grand X4,1,
Grand X Max+,1,
Grand X 3,1,
GR5,,
GOME 2017M27A,1,
GM1917,1,
GM1915,1,
GM1911,1,
GM1910,1,
GM1901,1,
GM1900,1,
GIONEE X1,,
Gear Sport,1,
Gear S3,1,
Gear S2,1,
Gear Fit2,1,
Galaxy Xcover 4,1,
Galaxy Wide 3,1,
Galaxy Trend,1,
"Galaxy TabPRO 8.4"" WiFi",1,
"Galaxy TabPRO 12.2"" WiFi",1,
Galaxy TabA,1,
Galaxy Tab S4 10.5,1,
Galaxy Tab S4,1,
Galaxy Tab S3 9.7,1,
Galaxy Tab S3,1,
"Galaxy Tab S2 9.7"" WiFi",1,
Galaxy Tab S2 9.7 (2016),1,
Galaxy Tab S2 9.7,1,
Galaxy Tab S2 8.0 (2016),1,
Galaxy Tab S2 8.0,1,
Galaxy Tab S2,1,
"Galaxy Tab S 8.4"" WiFi",1,
"Galaxy Tab S 8.4"" LTE",1,
"Galaxy Tab S 10.5"" WiFi",1,
Galaxy Tab S 10.5,1,
Galaxy Tab E 9.6,1,
Galaxy Tab E 8.0,1,
Galaxy Tab E,1,
"Galaxy Tab A 9.7"" WiFi",1,
Galaxy Tab A 8.0 (2017),1,
Galaxy Tab A 8.0,1,
Galaxy Tab A 7.0,1,
"Galaxy Tab A 10.1"" WiFi (2016)",1,
Galaxy Tab A 10.1 with S Pen (2016),1,
Galaxy Tab A,1,
Galaxy Tab 4 8.0,1,
"Galaxy Tab 4 7.0"" WiFi",1,
Galaxy Tab 4 7.0,1,
"Galaxy Tab 4 10.1"" WiFi",1,
Galaxy Tab 3V 7.0,1,
"Galaxy Tab 3 8.0"" WiFi",1,
"Galaxy Tab 3 8.0"" LTE",1,
"Galaxy Tab 3 7.0"" WiFi",1,
"Galaxy Tab 3 7.0"" Lite WiFi",1,
"Galaxy Tab 3 7.0""",1,
"Galaxy Tab 2 7"" WiFi",1,
"Galaxy Tab 10.1"" P7500",1,
Galaxy Tab,1,
Galaxy Sol 2,1,
Galaxy Sol,1,
Galaxy S9+,1,
Galaxy S9,1,
Galaxy S8+,1,
Galaxy S8-,1,
Galaxy S8 Active,1,
Galaxy S8,1,
Galaxy S7-Edge,1,
Galaxy S7-edge,1,
Galaxy S7 Edge,1,
Galaxy S7 Active,1,
Galaxy S7,1,
Galaxy S6-Edge,1,
Galaxy S6 Edge+,1,
Galaxy S6 Edge,1,
Galaxy S6 Active,1,
Galaxy S6 active,1,
Galaxy S6,1,
Galaxy S5 Sport,1,
Galaxy S5 Neo,1,
Galaxy S5 mini,1,
Galaxy S5 Active,1,
Galaxy S5,1,
Galaxy S4 Active,1,
Galaxy S4,1,
Galaxy S10E,1,
Galaxy S10,1,
Galaxy S III Mini,1,
Galaxy S III,1,
Galaxy On7 Prime (2018),1,
Galaxy On5 (2016),1,
Galaxy On5,1,
"Galaxy NotePRO 12.2"" WiFi",1,
Galaxy Note9,1,
Galaxy Note8,1,
Galaxy Note II LTE,1,
Galaxy Note II,1,
Galaxy Note FE,1,
Galaxy Note 9,1,
Galaxy Note 8,1,
Galaxy Note 5 Duos,1,
Galaxy Note 5,1,
Galaxy Note 4 Edge,1,
Galaxy Note 4,1,
Galaxy Note 3,1,
Galaxy Note 10.1,1,
Galaxy Mega 2 ,1,
Galaxy Light,1,
Galaxy J8 (2018),1,
Galaxy J8,1,
Galaxy J7Prime,1,
Galaxy J7 Star,1,
Galaxy J7 Sky Pro,1,
Galaxy J7 Pro,1,
Galaxy J7 Prime,1,
Galaxy J7 Perx,1,
Galaxy J7 Max,1,
Galaxy J7 Core,1,
Galaxy J7 (2017),1,
Galaxy J7 (2016),1,
Galaxy J7,1,
Galaxy J6,1,
Galaxy J5 Prime,1,
Galaxy J5 (2017),1,
Galaxy J5 (2016),1,
Galaxy J5,1,
Galaxy J4,1,
Galaxy J3 Star,1,
Galaxy J3 Prime,1,
Galaxy J3 Luna Pro,1,
Galaxy J3 Emerge,1,
Galaxy J3 (2018),1,
Galaxy J3 (2017),1,
Galaxy J3,1,
Galaxy J2 (2018),1,
Galaxy J2 (2016),1,
Galaxy J2,1,
Galaxy J1 Ace,1,
Galaxy J1 (2016),1,
Galaxy J1,1,
Galaxy Grand Prime+,1,
Galaxy Grand Prime VE,1,
Galaxy Grand Prime,1,
Galaxy Grand Neo,1,
Galaxy E5,1,
Galaxy Core Prime,1,
Galaxy Core 2,1,
Galaxy Core,1,
Galaxy C9 Pro,1,
Galaxy C9,1,
Galaxy C7 Pro,1,
Galaxy C7,1,
Galaxy C5 Pro,1,
Galaxy C5,1,
Galaxy A9 Star Lite,1,
Galaxy A9 Star,1,
Galaxy A9,1,
Galaxy A8+ (2018),1,
Galaxy A8 (2018),1,
Galaxy A8,1,
Galaxy A7 (2017),1,
Galaxy A7 (2016),1,
Galaxy A7,1,
Galaxy A6+ (2018),1,
Galaxy A6 (2018),1,
Galaxy A6,1,
Galaxy A5 (2017),1,
Galaxy A5 (2016),1,
Galaxy A5 (2015),1,
Galaxy A5,1,
Galaxy A3 (2017),1,
Galaxy A3 (2016),1,
G710,,
G7 ThinQ,,
G6,,
G5,,
G4,,
G36,,
G'zOne Commando 4G LTE,0,
G Stylo 2 V,1,
G Stylo 2,1,
G Stylo,1,
G Play Mini,1,
G Pad X 8.3,1,
G Pad X 8.0,1,
G Pad F 8.0,1,
FTU18A00,,
Fortune,,
Fire HD 8 KFKAWI,1,
Fire HD 8 (2016),1,
Fire HD 8 (2015),1,
Fire HD 7,1,
Fire HD 6,1,
Fire HD 10 (2017),1,
Fire HD 10 (2015),1,
Fire HD 10,1,
"Fire 7""",1,
Fire 7 (2017),1,
Fire 7,1,
Find 7a X9006,1,
Find 7 X9076,1,
F800S,,
F800L,,
F5,,
F3 Plus,,
F3,,
F1s,,
F1 Plus X9009,,
F-08D Disney Mobile,1,
EZmmy81,,
EVR-L29,1,
EVR-AL00,1,
Enjoy 8 Plus,1,
Enjoy 7 Plus,1,
Enjoy 5,,
EliteBook x360 1030 G3,2,
EliteBook 840 G3,2,
EliteBook 840 G2,2,
EliteBook 840 G1,2,
ELE-L29,1,
ELE-L04,1,
ELE-AL00,1,
Ektra,,
EA Connected,,
E4610,,
E2(4G-LTE),,
DuraForce XD,0,
DuraForce Pro,0,
DUB-AL00,1,
DTEK50,1,
Droid Ultra,1,
Droid Turbo 2,1,
Droid RAZR M,1,
Droid MAXX 2,1,
DMTAB-NV08B,1,
Desire 826 dual sim,1,
Desire 816,1,
Desire 626s,1,
Desire 601,1,
Desire 555,1,
Desire 550,1,
Desire 526GPLUS dual sim,1,
Desire 510,1,
Dell B3460dn Laser Printer,0,
Dell B2360dn Laser Printer,0,
Dell 2350dn Laser Printer,0,
DCG-V100MDT,,
D852,1,
D851,1,
D801,1,
D800,1,
D727,1,
D415,1,
D321,1,
D10i,1,
CPH1969,1,
CPH1911,1,
CPH1909,1,
CPH1881,1,
CPH1861,1,
CPH1859,1,
CPH1823,1,
CPH1819,1,
CPH1803,1,
CPH1729,1,
CPH1727,1,
CP9971,1,
CP8945,1,
CP8861,1,
CP8851,1,
CP8841,1,
CP8831G,1,
CP8821,1,
CP7965G,1,
CP7945G,1,
CP3905,1,
cp3705AS,1,
cp3705A,1,
cp3636a,1,
COR-L29,1,
COR-AL10,1,
Coolpad #3632A/QC Reference Phone/unknown/QCX3/l10249653648495134433/86437703/1923313509/310|260+310|260/Coolpad/74568/74500,1,
CMR-W19,1,
CLT-L29,1,
CLT-L09,1,
CLT-L04,1,
CLT-AL01,1,
CLT-AL00,1,
cisco WS-C4510R-E,0,
"Cisco Systems, Inc. IP Phone CP-7937G",0,
Cisco IP Phone 7965,0,
Cisco AP c3700,0,
Chromebook x360 11 G1 EE,1,
Chromebook 3,1,
Catalyst 4500,0,router
Catalyst 3750,0,router
C12 Pro,1,
C103,,
BV9600Pro,,
Brigadier,,
BLU STUDIO ONE,1,
BLU R1 HD,1,
Blade X Max,1,
Blade V8 Pro,1,
BLADE V Ultra,1,
BlackBerry,1,
BKL-TL10,1,
BG2-W09,1,
Axon 7,1,
AXIS Q8414-LVS Fixed Network Camera,0,
AXIS Q6035-E PTZ Dome Network Camera,0,
AXIS Q6000-E Mk II PTZ Dome Network Camera,0,
AXIS Q3709-PVE Network Camera,0,
AXIS P7216 Video Encoder,0,
AXIS P3707-PE Network Camera,0,
AXIS P3384-V Network Camera,0,
AXIS P3375-V Network Camera,0,
AXIS P3374-V Network Camera,0,
AXIS P3365 Fixed Dome Network Camera,0,
AXIS P3364-L Fixed Dome Network Camera,0,
AXIS P3364 Fixed Dome Network Camera,0,
AXIS P3354 Fixed Dome Network Camera,0,
AXIS P3346 Fixed Dome Network Camera,0,
AXIS P3225-V Mk II Network Camera,0,
AXIS P3225-LV Mk II Network Camera,0,
AXIS M5525-E PTZ Dome Network Camera,0,
AXIS M3048-P Network Camera,0,
AXIS M3047-P Network Camera,0,
AXIS M3045-V Network Camera,0,
AXIS M3044-V Network Camera,0,
AXIS M3037 Network Camera,0,
AXIS M3026 Network Camera,0,
AXIS M3007 Network Camera,0,
Avid Plus,2,
ATU-L42,1,
ATU-L22,1,
ATU-L21,1,
Atrium,,
ASUS_Z01RD,1,
ASUS_X01AD,1,
ASUS_X018D,1,
ASUS_X017DA,1,
ASUS_X00TDB,1,
ASUS_X00TD,1,
ASUS_X00PD,1,
ASUS_X00LDA,1,
ASUS_X00ID,1,
ASUS_A009,1,
ASUS_A006,1,
Ascend Y600,1,
Ascend Y336,1,
Ascend Mate 2,1,
Ascend G7,1,
AS998,1,
AS330,1,
ARS-AL00,1,
Aristo 2,1,
Aristo,1,
ARE-AL00,,
AQUOS CRYSTAL 306SH,,
AppleWatch,1,
Apple Watch,1,
ANE-TL00,1,
Alcatel_5054O,1,
Alcatel_5044R,1,
Alcatel_5044C,1,
Alcatel_5008R,1,
Alcatel 5085C,1,
AIR-CAP3702I-B-K9,0,
